T_C,P_kPa,vf_m3_per_kg,vg_m3_per_kg,uf_kJ_per_kg,ug_kJ_per_kg,hf_kJ_per_kg,hg_kJ_per_kg,sf_kJ_per_kgK,sg_kJ_per_kgK
0.01,0.612,0.001 000,205.99,0,"2,374.9",0,"2,500.9",0,9.155 5
5,0.873,0.001 000,147.01,21.02,"2,381.8",21.02,"2,510.1",0.076 3,9.024 8
10,1.228,0.001 000,106.30,42.02,"2,388.6",42.02,"2,519.2",0.151 1,8.899 8
15,1.706,0.001 001,77.875,62.98,"2,395.5",62.98,"2,528.3",0.224 5,8.780 3
20,2.339,0.001 002,57.757,83.91,"2,402.3",83.91,"2,537.4",0.296 5,8.666 0
25,3.170,0.001 003,43.337,104.83,"2,409.1",104.83,"2,546.5",0.367 2,8.556 6
30,4.247,0.001 004,32.878,125.73,"2,415.9",125.73,"2,555.5",0.436 8,8.452 0
35,5.629,0.001 006,25.205,146.63,"2,422.7",146.63,"2,564.5",0.505 1,8.351 7
40,7.385,0.001 008,19.515,167.53,"2,429.4",167.53,"2,573.5",0.572 4,8.255 5
45,9.595,0.001 010,15.252,188.43,"2,436.1",188.43,"2,582.4",0.638 6,8.163 3
50,12.35,0.001 012,12.027,209.33,"2,442.7",209.34,"2,591.3",0.703 8,8.074 8
55,15.76,0.001 015,9.564 3,230.24,"2,449.3",230.26,"2,600.1",0.768 0,7.989 8
60,19.95,0.001 017,7.667 2,251.16,"2,455.9",251.18,"2,608.8",0.831 3,7.908 1
65,25.04,0.001 020,6.193 5,272.09,"2,462.4",272.12,"2,617.5",0.893 7,7.829 6
70,31.20,0.001 023,5.039 5,293.03,"2,468.9",293.07,"2,626.1",0.955 1,7.754 0
75,38.60,0.001 026,4.128 9,313.99,"2,475.2",314.03,"2,634.6",1.015 8,7.681 2
80,47.41,0.001 029,3.405 2,334.96,"2,481.6",335.01,"2,643.0",1.075 6,7.611 1
85,57.87,0.001 032,2.825 8,355.95,"2,487.8",356.01,"2,651.3",1.134 6,7.543 4
90,70.18,0.001 036,2.359 1,376.97,"2,494.0",377.04,"2,659.5",1.192 9,7.478 1
95,84.61,0.001 040,1.980 6,398.00,"2,500.0",398.09,"2,667.6",1.250 4,7.415 1
100,101.4,0.001 043,1.671 8,419.06,"2,506.0",419.17,"2,675.6",1.307 2,7.354 1
105,120.9,0.001 047,1.418 4,440.15,"2,511.9",440.27,"2,683.4",1.363 3,7.295 2
110,143.4,0.001 052,1.209 3,461.26,"2,517.7",461.42,"2,691.1",1.418 8,7.238 1
115,169.2,0.001 056,1.035 8,482.41,"2,523.3",482.59,"2,698.6",1.473 7,7.182 8
120,198.7,0.001 060,0.891 212,503.60,"2,528.9",503.81,"2,705.9",1.527 9,7.129 1
125,232.2,0.001 065,0.770 026,524.83,"2,534.3",525.07,"2,713.1",1.581 6,7.077 0
130,270.3,0.001 070,0.668 005,546.09,"2,539.5",546.38,"2,720.1",1.634 6,7.026 4
135,313.2,0.001 075,0.581 729,567.41,"2,544.7",567.74,"2,726.9",1.687 2,6.977 2
140,361.5,0.001 080,0.508 454,588.77,"2,549.6",589.16,"2,733.4",1.739 2,6.929 3
145,415.7,0.001 085,0.445 962,610.19,"2,554.4",610.64,"2,739.8",1.790 7,6.882 6
150,476.2,0.001 091,0.392 453,631.66,"2,559.1",632.18,"2,745.9",1.841 8,6.837 1
155,543.5,0.001 096,0.346 460,653.19,"2,563.5",653.79,"2,751.8",1.892 4,6.792 6
160,618.2,0.001 102,0.306 782,674.79,"2,567.8",675.47,"2,757.4",1.942 6,6.749 1
165,700.9,0.001 108,0.272 431,696.46,"2,571.9",697.24,"2,762.8",1.992 3,6.706 6
170,792.2,0.001 114,0.242 589,718.20,"2,575.7",719.08,"2,767.9",2.041 7,6.665 0
175,892.6,0.001 121,0.216 581,740.02,"2,579.4",741.02,"2,772.7",2.090 6,6.624 1
180,"1,002.8",0.001 127,0.193 842,761.92,"2,582.8",763.05,"2,777.2",2.139 2,6.584 0
185,"1,123.5",0.001 134,0.173 901,783.91,"2,586.0",785.19,"2,781.4",2.187 5,6.544 7
190,"1,255.2",0.001 141,0.156 362,806.00,"2,589.0",807.43,"2,785.3",2.235 5,6.505 9
195,"1,398.8",0.001 149,0.140 892,828.18,"2,591.7",829.79,"2,788.8",2.283 2,6.467 8
200,"1,554.9",0.001 157,0.127 210,850.47,"2,594.2",852.27,"2,792.0",2.330 5,6.430 2
205,"1,724.3",0.001 164,0.115 078,872.87,"2,596.4",874.88,"2,794.8",2.377 7,6.393 0
210,"1,907.7",0.001 173,0.104 292,895.39,"2,598.3",897.63,"2,797.3",2.424 5,6.356 3
215,"2,105.8",0.001 181,0.094 679,918.04,"2,599.9",920.53,"2,799.3",2.471 2,6.320 0
220,"2,319.6",0.001 190,0.086 092,940.82,"2,601.2",943.58,"2,800.9",2.517 7,6.284 0
225,"2,549.7",0.001 199,0.078 403,963.74,"2,602.2",966.80,"2,802.1",2.564 0,6.248 3
230,"2,797.1",0.001 209,0.071 503,986.81,"2,602.9",990.19,"2,802.9",2.610 1,6.212 8
235,"3,062.5",0.001 219,0.065 298,"1,010.0","2,603.2","1,013.8","2,803.2",2.656 1,6.177 5
240,"3,346.9",0.001 229,0.059 705,"1,033.4","2,603.1","1,037.6","2,803.0",2.702 0,6.142 3
245,"3,651.2",0.001 240,0.054 654,"1,057.0","2,602.7","1,061.5","2,802.2",2.747 8,6.107 2
250,"3,976.2",0.001 252,0.050 083,"1,080.8","2,601.8","1,085.8","2,800.9",2.793 5,6.072 1
255,"4,322.9",0.001 264,0.045 938,"1,104.8","2,600.5","1,110.2","2,799.1",2.839 2,6.036 9
260,"4,692.3",0.001 276,0.042 173,"1,129.0","2,598.7","1,135.0","2,796.6",2.884 9,6.001 6
265,"5,085.3",0.001 289,0.038 746,"1,153.4","2,596.5","1,160.0","2,793.5",2.930 7,5.966 1
270,"5,503.0",0.001 303,0.035 621,"1,178.1","2,593.7","1,185.3","2,789.7",2.976 5,5.930 4
275,"5,946.4",0.001 318,0.032 766,"1,203.1","2,590.3","1,210.9","2,785.2",3.022 4,5.894 4
280,"6,416.6",0.001 333,0.030 153,"1,228.3","2,586.4","1,236.9","2,779.9",3.068 5,5.857 9
285,"6,914.7",0.001 349,0.027 756,"1,253.9","2,581.8","1,263.3","2,773.7",3.114 7,5.820 9
290,"7,441.8",0.001 366,0.025 555,"1,279.9","2,576.5","1,290.0","2,766.7",3.161 2,5.783 4
295,"7,999.1",0.001 385,0.023 529,"1,306.2","2,570.5","1,317.3","2,758.7",3.208 0,5.745 1
300,"8,587.9",0.001 404,0.021 660,"1,332.9","2,563.6","1,345.0","2,749.6",3.255 2,5.705 9
305,"9,209.4",0.001 425,0.019 933,"1,360.2","2,555.9","1,373.3","2,739.4",3.302 8,5.665 7
310,"9,865.1",0.001 448,0.018 335,"1,387.9","2,547.1","1,402.2","2,727.9",3.351 0,5.624 4
315,"10,556",0.001 472,0.016 851,"1,416.3","2,537.2","1,431.8","2,715.1",3.399 8,5.581 6
320,"11,284",0.001 499,0.015 471,"1,445.3","2,526.0","1,462.2","2,700.6",3.449 4,5.537 2
325,"12,051",0.001 528,0.014 183,"1,475.1","2,513.4","1,493.5","2,684.3",3.500 0,5.490 8
330,"12,858",0.001 561,0.012 979,"1,505.8","2,499.2","1,525.9","2,666.0",3.551 8,5.442 2
335,"13,707",0.001 597,0.011 847,"1,537.6","2,483.0","1,559.5","2,645.4",3.605 0,5.390 6
340,"14,601",0.001 638,0.010 781,"1,570.6","2,464.4","1,594.5","2,621.8",3.660 1,5.335 6
345,"15,541",0.001 685,0.009 769,"1,605.3","2,443.1","1,631.5","2,594.9",3.717 6,5.276 2
350,"16,529",0.001 740,0.008 802,"1,642.1","2,418.1","1,670.9","2,563.6",3.778 4,5.211 0
355,"17,570",0.001 808,0.007 868,"1,682.0","2,388.4","1,713.7","2,526.6",3.843 9,5.138 0
360,"18,666",0.001 895,0.006 949,"1,726.3","2,351.8","1,761.7","2,481.5",3.916 7,5.053 6
