P_kPa,T_C,vf_m3_per_kg,vg_m3_per_kg,uf_kJ_per_kg,ug_kJ_per_kg,hf_kJ_per_kg,hg_kJ_per_kg,sf_kJ_per_kgK,sg_kJ_per_kgK
0.6125,0.03,0.001 000,205.72,0,"2,374.9",0,"2,501.0",0,9.155 0
1,6.97,0.001 000,129.18,29.30,"2,384.5",29.30,"2,513.7",0.1059,8.9749
1.5,13.02,0.001 001,87.959,54.68,"2,392.8",54.68,"2,524.7",0.1956,8.8270
2,17.49,0.001 001,66.987,73.43,"2,398.9",73.43,"2,532.9",0.2606,8.7226
2.5,21.08,0.001 002,54.240,88.42,"2,403.8",88.42,"2,539.4",0.3118,8.6420
3,24.08,0.001 003,45.653,100.97,"2,407.9",100.98,"2,544.8",0.3543,8.5764
3.5,26.67,0.001 003,39.466,111.82,"2,411.4",111.82,"2,549.5",0.3906,8.5211
4,28.96,0.001 004,34.791,121.38,"2,414.5",121.39,"2,553.7",0.4224,8.4734
4.5,31.01,0.001 005,31.131,129.96,"2,417.3",129.96,"2,557.4",0.4507,8.4313
5,32.87,0.001 005,28.185,137.74,"2,419.8",137.75,"2,560.7",0.4762,8.3938
5.5,34.58,0.001 006,25.762,144.88,"2,422.1",144.88,"2,563.8",0.4994,8.3599
6,36.16,0.001 006,23.733,151.47,"2,424.2",151.48,"2,566.6",0.5208,8.3290
6.5,37.63,0.001 007,22.009,157.61,"2,426.2",157.61,"2,569.3",0.5406,8.3007
7,39.00,0.001 008,20.524,163.34,"2,428.0",163.35,"2,571.7",0.5590,8.2745
7.5,40.29,0.001 008,19.233,168.74,"2,429.8",168.75,"2,574.0",0.5763,8.2501
8,41.51,0.001 008,18.099,173.83,"2,431.4",173.84,"2,576.2",0.5925,8.2273
8.5,42.66,0.001 009,17.095,178.66,"2,433.0",178.67,"2,578.3",0.6078,8.2060
9,43.76,0.001 009,16.199,183.24,"2,434.4",183.25,"2,580.2",0.6223,8.1858
9.5,44.81,0.001 010,15.396,187.62,"2,435.8",187.63,"2,582.1",0.6361,8.1668
10,45.81,0.001 010,14.670,191.80,"2,437.2",191.81,"2,583.9",0.6492,8.1488
15,53.97,0.001 014,10.020,225.93,"2,448.0",225.94,"2,598.3",0.7549,8.007 1
20,60.06,0.001 017,7.6480,251.40,"2,456.0",251.42,"2,608.9",0.8320,7.907 2
25,64.96,0.001 020,6.2032,271.93,"2,462.4",271.96,"2,617.4",0.8932,7.8302
30,69.10,0.001 022,5.2284,289.24,"2,467.7",289.27,"2,624.5",0.9441,7.7675
35,72.68,0.001 024,45251,304.27,"2,472.3",304.30,"2,630.7",0.9877,7.7146
40,75.86,0.001 026,3.9930,317.58,"2,476.3",317.62,"2,636.1",1.0261,7.6690
