P_kPa,Tsat_C,row_type,T_C,v_m3_per_kg,u_kJ_per_kg,h_kJ_per_kg,s_kJ_per_kgK,source_page,source_side
500,151.83,T,10,0.001 000,42.008,42.508,0.151 042,1,left
500,151.83,T,20,0.001 002,83.882,84.382,0.296 380,1,left
500,151.83,T,30,0.001 004,125.68,126.19,0.436 604,1,left
500,151.83,T,40,0.001 008,167.47,167.97,0.572 210,1,left
500,151.83,T,50,0.001 012,209.26,209.76,0.703 583,1,left
500,151.83,T,60,0.001 017,251.08,251.58,0.831 038,1,left
500,151.83,T,70,0.001 023,292.94,293.45,0.954 853,1,left
500,151.83,T,80,0.001 029,334.86,335.37,1.0753,1,left
500,151.83,T,90,0.001 036,376.85,377.37,1.1926,1,left
500,151.83,T,100,0.001 043,418.94,419.47,1.3069,1,left
500,151.83,T,110,0.001 051,461.15,461.67,1.4185,1,left
500,151.83,T,120,0.001 060,503.49,504.02,1.5276,1,left
500,151.83,T,130,0.001070,546,546.54,1.6344,1,left
500,151.83,T,140,0.001 080,588.71,589.25,1.7391,1,left
500,151.83,T,150,0.001 090,631.65,632.19,1.8418,1,left
500,151.83,Sat,151.83,0.001 093,639.54,640.09,1.8604,1,left
750,167.75,T,10,0.001 000,42.001,42.751,0.151 019,1,right
750,167.75,T,20,0.001 001,83.866,84.618,0.296 328,1,right
750,167.75,T,30,0.001 004,125.66,126.41,0.436 527,1,right
750,167.75,T,40,0.001 008,167.44,168.19,0.572 113,1,right
750,167.75,T,50,0.001 012,209.22,209.98,0.703 467,1,right
750,167.75,T,60,0.001 017,251.03,251.79,0.830 905,1,right
750,167.75,T,70,0.001 022,292.89,293.65,0.954 703,1,right
750,167.75,T,80,0.001 029,334.8,335.57,1.075 1,1,right
750,167.75,T,90,0.001 036,376.79,377.57,1.192 4,1,right
750,167.75,T,100,0.001 043,418.87,419.65,1.306 7,1,right
750,167.75,T,110,0.001 051,461.07,461.86,1.418 3,1,right
750,167.75,T,120,0.001 060,503.4,504.2,1.527 4,1,right
750,167.75,T,130,0.001 069,545.91,546.71,1.634 2,1,right
750,167.75,T,140,0.001 080,588.6,589.41,1.738 8,1,right
750,167.75,T,150,0.001 090,631.53,632.35,1.8415,1,right
750,167.75,T,160,0.001 102,674.72,675.55,1.942 4,1,right
750,167.75,Sat,167.75,0.001 111,708.4,709.24,2.019 5,1,right
1000,179.88,T,10,0.001 000,41.995,42.995,0.150 997,1,left
1000,179.88,T,20,0.001 001,83.851,84.853,0.296 276,1,left
1000,179.88,T,30,0.001 004,125.64,126.64,0.436 451,1,left
1000,179.88,T,40,0.001 007,167.41,168.41,0.572 016,1,left
1000,179.88,T,50,0.001 012,209.18,210.19,0.703 351,1,left
1000,179.88,T,60,0.001 017,250.99,252,0.830 772,1,left
1000,179.88,T,70,0.001 022,292.84,293.86,0.954 554,1,left
1000,179.88,T,80,0.001 029,334.74,335.77,1.0750,1,left
1000,179.88,T,90,0.001 036,376.72,377.76,1.1922,1,left
1000,179.88,T,100,0.001043,418.8,419.84,1.3065,1,left
1000,179.88,T,110,0.001 051,460.99,462.04,1.4181,1,left
1000,179.88,T,120,0.001 060,503.32,504.38,1.5272,1,left
1000,179.88,T,130,0.001 069,545.81,546.88,1.6339,1,left
1000,179.88,T,140,0.001 079,588.5,589.58,1.738 6,1,left
1000,179.88,T,150,0.001 090,631.41,632.5,1.841 2,1,left
1000,179.88,T,160,0.001 102,674.59,675.7,1.942 1,1,left
1000,179.88,T,170,0.001 114,718.08,719.2,2.041 4,1,left
1000,179.88,Sat,179.88,0.001 127,761.39,762.52,2.1381,1,left
1250,189.81,T,10,0.001 000,41.989,43.239,0.150 974,1,right
1250,189.81,T,20,0.001 001,83.836,85.088,0.296 224,1,right
1250,189.81,T,30,0.001 004,125.61,126.87,0.436 375,1,right
1250,189.81,T,40,0.001 007,167.37,168.63,0.571 919,1,right
1250,189.81,T,50,0.001 012,209.14,210.41,0.703 235,1,right
1250,189.81,T,60,0.001 017,250.94,252.21,0.830 639,1,right
1250,189.81,T,70,0.001 022,292.78,294.06,0.954 405,1,right
1250,189.81,T,80,0.001 028,334.68,335.97,1.074 8,1,right
1250,189.81,T,90,0.001 035,376.66,377.95,1.1920,1,right
1250,189.81,T,100,0.001 043,418.73,420.03,1.306 3,1,right
1250,189.81,T,110,0.001 051,460.91,462.22,1.4179,1,right
1250,189.81,T,120,0.001 060,503.23,504.55,1.527 0,1,right
1250,189.81,T,130,0.001 069,545.71,547.05,1.633 7,1,right
1250,189.81,T,140,0.001 079,588.39,589.74,1.738 3,1,right
1250,189.81,T,150,0.001 090,631.29,632.66,1.840 9,1,right
1250,189.81,T,160,0.001 102,674.47,675.84,1.941 8,1,right
1250,189.81,T,170,0.001 114,717.94,719.33,2.041 1,1,right
1250,189.81,T,180,0.001 127,761.77,763.18,2.1389,1,right
1250,189.81,Sat,189.81,0.001 141,805.16,806.58,2.233 7,1,right
1500,198.29,T,10,0.001 000,41.983,43.482,0.150 952,2,left
1500,198.29,T,20,0.001 001,83.821,85.323,0.296 172,2,left
1500,198.29,T,30,0.001 004,125.59,127.1,0.436 298,2,left
1500,198.29,T,40,0.001 007,167.34,168.86,0.571 822,2,left
1500,198.29,T,50,0.001 011,209.11,210.62,0.703 120,2,left
1500,198.29,T,60,0.001 016,250.9,252.42,0.830 506,2,left
1500,198.29,T,70,0.001 022,292.73,294.27,0.954 256,2,left
1500,198.29,T,80,0.001 028,334.63,336.17,1.0746,2,left
1500,198.29,T,90,0.001 035,376.59,378.15,1.1918,2,left
1500,198.29,T,100,0.001 043,418.65,420.22,1.3061,2,left
1500,198.29,T,110,0.001 051,460.83,462.4,1.4177,2,left
1500,198.29,T,120,0.001 060,503.14,504.73,1.5267,2,left
1500,198.29,T,130,0.001 069,545.61,547.22,1.6334,2,left
1500,198.29,T,140,0.001 079,588.28,589.9,1.738 0,2,left
1500,198.29,T,150,0.001 090,631.18,632.81,1.840 7,2,left
1500,198.29,T,160,0.001 101,674.34,675.99,1.9415,2,left
1500,198.29,T,170,0.001114,717.8,719.47,2.0407,2,left
1500,198.29,T,180,0.001 127,761.61,763.3,2.138 6,2,left
1500,198.29,T,190,0.001 141,805.83,807.54,2.2351,2,left
1500,198.29,Sat,198.29,0.001 154,842.83,844.56,2.3143,2,left
1750,205.73,T,10,0.001 000,41.976,43.725,0.150 929,2,right
1750,205.73,T,20,0.001 001,83.806,85.558,0.296 119,2,right
1750,205.73,T,30,0.001 004,125.57,127.33,0.436 222,2,right
1750,205.73,T,40,0.001 007,167.31,169.08,0.571 725,2,right
1750,205.73,T,50,0.001 011,209.07,210.84,0.703 004,2,right
1750,205.73,T,60,0.001 016,250.85,252.63,0.830 373,2,right
1750,205.73,T,70,0.001 022,292.68,294.47,0.954 107,2,right
1750,205.73,T,80,0.001 028,334.57,336.37,1.0745,2,right
1750,205.73,T,90,0.001 035,376.53,378.34,1.1917,2,right
1750,205.73,T,100,0.001 043,418.58,420.4,1.305 9,2,right
1750,205.73,T,110,0.001 051,460.75,462.58,1.4175,2,right
1750,205.73,T,120,0.001 059,503.05,504.9,1.5265,2,right
1750,205.73,T,130,0.001 069,545.51,547.39,1.6332,2,right
1750,205.73,T,140,0.001 079,588.17,590.06,1.737 8,2,right
1750,205.73,T,150,0.001 090,631.06,632.97,1.8404,2,right
1750,205.73,T,160,0.001 101,674.21,676.13,1.941 2,2,right
1750,205.73,T,170,0.001 114,717.66,719.61,2.040 4,2,right
1750,205.73,T,180,0.001 127,761.46,763.43,2.1382,2,right
1750,205.73,T,190,0.001 141,805.66,807.66,2.2348,2,right
1750,205.73,T,200,0.001 156,850.33,852.35,2.3302,2,right
1750,205.73,Sat,205.73,0.001 166,876.13,878.17,2.384 5,2,right
2000,212.38,T,10,0.000 999,41.97,43.969,0.150 906,2,left
2000,212.38,T,20,0.001 001,83.791,85.793,0.296 067,2,left
2000,212.38,T,30,0.001 004,125.55,127.55,0.436 146,2,left
2000,212.38,T,40,0.001 007,167.28,169.3,0.571 627,2,left
2000,212.38,T,50,0.001 011,209.03,211.06,0.702 888,2,left
2000,212.38,T,60,0.001 016,250.81,252.84,0.830 241,2,left
2000,212.38,T,70,0.001 022,292.63,294.68,0.953 959,2,left
2000,212.38,T,80,0.001 028,334.51,336.57,1.0743,2,left
2000,212.38,T,90,0.001 035,376.46,378.53,1.1915,2,left
2000,212.38,T,100,0.001 042,418.51,420.59,1.3057,2,left
2000,212.38,T,110,0.001 051,460.67,462.77,1.4173,2,left
2000,212.38,T,120,0.001 059,502.96,505.08,1.5263,2,left
2000,212.38,T,130,0.001 069,545.42,547.55,1.6330,2,left
2000,212.38,T,140,0.001 079,588.07,590.22,1.7375,2,left
2000,212.38,T,150,0.001 089,630.94,633.12,1.8401,2,left
2000,212.38,T,160,0.001 101,674.08,676.28,1.9409,2,left
2000,212.38,T,170,0.001 113,717.52,719.74,2.0401,2,left
2000,212.38,T,180,0.001 127,761.3,763.56,2.1379,2,left
2000,212.38,T,190,0.001 141,805.49,807.77,2.2344,2,left
2000,212.38,T,200,0.001 156,850.14,852.45,2.3298,2,left
2000,212.38,T,210,0.001 173,895.32,897.66,2.4244,2,left
2000,212.38,Sat,212.38,0.001 177,906.14,908.5,2.446 8,2,left
2500,223.95,T,10,0.000 999,41.957,44.455,0.150 859,2,right
2500,223.95,T,20,0.001 001,83.76,86.262,0.295 962,2,right
2500,223.95,T,30,0.001003,125.5,128.01,0.435 992,2,right
2500,223.95,T,40,0.001 007,167.22,169.74,0.571 433,2,right
2500,223.95,T,50,0.001 011,208.96,211.49,0.702 657,2,right
2500,223.95,T,60,0.001 016,250.72,253.26,0.829 975,2,right
2500,223.95,T,70,0.001 022,292.53,295.08,0.953 661,2,right
2500,223.95,T,80,0.001 028,334.39,336.96,1.0740,2,right
2500,223.95,T,90,0.001 035,376.33,378.92,1.1911,2,right
2500,223.95,T,100,0.001 042,418.36,420.97,1.3053,2,right
2500,223.95,T,110,0.001 050,460.51,463.13,1.4168,2,right
2500,223.95,T,120,0.001 059,502.78,505.43,1.5258,2,right
2500,223.95,T,130,0.001 068,545.22,547.89,1.6325,2,right
2500,223.95,T,140,0.001 078,587.85,590.55,1.7370,2,right
2500,223.95,T,150,0.001 089,630.71,633.43,1.839 5,2,right
2500,223.95,T,160,0.001 101,673.82,676.57,1.9403,2,right
2500,223.95,T,170,0.001 113,717.24,720.02,2.0395,2,right
2500,223.95,T,180,0.001 126,760.99,763.81,2.1372,2,right
2500,223.95,T,190,0.001 140,805.15,808,2.233 7,2,right
2500,223.95,T,200,0.001 156,849.76,852.65,2.3290,2,right
2500,223.95,T,210,0.001172,894.9,897.83,2.4235,2,right
2500,223.95,T,220,0.001 190,940.65,943.63,2.5173,2,right
